computer.platform,startdate,starttime,subjectid,sessionid,elapsedtime,completed,totalscore,radiobuttons.q1.response,radiobuttons.q2.response,radiobuttons.q3R.response,radiobuttons.q4R.response,radiobuttons.q5R.response,radiobuttons.q6.response,radiobuttons.q7R.response,radiobuttons.q8R.response,radiobuttons.q9R.response,radiobuttons.q10.response,radiobuttons.q11.response,radiobuttons.q12R.response,radiobuttons.q13.response,radiobuttons.q14.response,radiobuttons.q15.response,radiobuttons.q16R.response,radiobuttons.q17R.response,radiobuttons.q18.response
win,3/15/21,14:30:05,34,1,145675,1,66,4,5,5,5,5,4,3,2,2,4,4,5,3,4,3,2,2,4
win,3/15/21,14:34:48,30,1,175846,1,54,4,4,2,2,2,4,2,2,2,4,4,2,4,4,4,2,2,4
win,3/15/21,14:45:42,17,1,42832,1,56,4,5,4,2,4,5,4,2,2,1,1,2,4,2,5,4,4,1
win,3/15/21,15:38:59,5,1,90418,1,45,2,2,3,4,4,2,2,1,1,5,2,3,2,2,2,2,4,2
win,3/15/21,15:46:26,25,1,193120,1,67,4,3,1,5,5,2,4,2,4,5,4,5,2,4,4,4,5,4
win,3/15/21,15:19:16,16,1,176461,1,50,4,3,2,2,4,3,1,4,2,5,2,2,1,2,2,2,4,5
win,3/15/21,12:54:52,54,1,65616,1,68,3,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4
win,3/15/21,15:47:23,22,1,167007,1,48,2,2,5,4,5,1,2,2,2,4,2,2,4,2,2,1,2,4
win,3/15/21,13:51:43,15,1,711868,1,54,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
win,3/15/21,14:16:31,39,1,103984,1,64,2,4,5,5,4,2,2,1,4,4,4,5,2,4,5,1,5,5
win,3/15/21,18:19:21,55,1,89570,1,55,4,4,2,2,2,4,3,2,2,4,4,2,4,4,5,2,2,3
win,3/23/21,18:52:19,28,1,115614,1,69,4,3,5,4,3,4,5,2,3,4,4,4,3,4,5,3,4,5
win,3/23/21,20:12:58,13,1,86397,1,73,5,4,5,4,4,2,5,1,4,4,5,4,4,5,5,4,4,4
win,3/23/21,20:33:35,35,1,107443,1,48,2,4,3,2,2,4,1,1,1,4,2,4,2,4,2,4,2,4
win,3/23/21,17:17:23,60,1,175649,1,76,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,3
win,3/23/21,17:36:19,23,1,71895,1,78,5,5,5,5,5,5,2,4,4,5,5,5,4,5,5,1,3,5
mac,3/23/21,17:39:29,31,1,127509,1,78,4,5,5,5,5,4,5,3,4,5,5,5,4,4,4,5,5,1
win,3/23/21,20:44:00,12,1,189503,1,87,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3
win,3/23/21,21:23:50,29,1,49074,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
win,3/23/21,18:10:08,56,1,131870,1,76,4,3,5,5,5,5,4,2,2,4,5,5,5,5,3,4,5,5
win,3/23/21,20:07:57,19,1,168945,1,63,4,4,5,3,1,4,2,2,2,4,5,5,5,5,4,1,4,3
and,3/23/21,19:59:54,18,1,274768,1,22,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4
win,3/23/21,20:20:48,58,1,144967,1,60,4,3,4,4,4,2,3,2,4,2,4,4,3,2,3,4,4,4
mac,3/23/21,21:05:35,62,1,198953,1,56,4,4,5,3,3,3,2,2,2,4,4,2,3,3,3,3,2,4
win,3/23/21,20:19:29,41,1,91349,1,79,4,4,5,5,4,4,5,4,4,4,4,5,4,5,4,4,5,5
mac,3/23/21,18:28:49,45,1,129981,1,70,2,5,4,4,4,4,5,2,2,5,5,5,2,4,4,4,4,5
mac,3/23/21,21:10:18,11,1,443494,1,48,1,2,2,2,3,1,2,4,3,3,4,2,4,4,1,1,5,4
win,3/23/21,20:31:36,10,1,113083,1,76,4,4,4,4,4,4,5,2,4,5,5,5,4,4,4,4,5,5
mac,3/23/21,21:30:50,21,1,165155,1,59,4,2,4,4,4,4,2,4,3,4,4,4,2,2,2,3,4,3
win,3/23/21,22:43:32,4,1,106035,1,34,2,1,2,3,1,1,2,4,2,1,2,2,1,1,2,1,4,2
win,4/5/21,07:41:48,43,1,334648,1,45,3,2,2,2,2,1,2,2,2,4,3,3,2,4,3,2,2,4
win,4/5/21,10:05:29,7,1,83648,1,73,4,4,4,4,4,4,5,4,4,4,4,5,5,3,4,4,3,4
win,4/5/21,10:48:42,3,1,42691,1,82,5,5,5,5,5,4,5,2,4,5,5,5,4,5,5,5,4,4
win,4/5/21,10:44:54,33,1,96239,1,70,5,1,4,5,5,4,5,4,5,3,4,5,1,5,1,3,5,5
and,4/5/21,17:27:00,63,1,265421,1,56,2,3,3,4,2,3,1,4,1,4,5,4,4,3,5,2,2,4
win,4/5/21,10:53:02,40,1,133483,1,59,4,4,4,3,4,3,2,3,2,3,4,4,3,2,3,3,4,4
win,4/5/21,11:58:03,61,1,80404,1,46,2,2,2,2,4,1,3,2,2,4,4,4,2,4,2,2,2,2
mac,4/5/21,09:00:42,20,1,95832,1,65,3,4,4,4,5,4,3,4,3,4,3,5,3,3,3,4,3,3
win,4/5/21,10:14:52,6,1,592756,1,73,4,4,4,4,2,4,5,5,5,5,4,4,3,4,3,4,5,4
win,4/5/21,12:03:19,47,1,92485,1,76,4,5,5,5,4,2,5,3,4,3,4,5,5,5,5,2,5,5
win,4/5/21,10:18:23,24,1,80706,1,77,5,5,4,5,5,4,4,5,5,1,5,2,5,5,5,4,4,4
mac,4/5/21,12:16:57,50,1,85425,1,66,2,2,2,3,4,4,4,2,4,4,5,4,4,5,4,4,4,5
win,4/5/21,11:00:24,26,1,157031,1,76,3,4,5,4,5,4,5,3,2,5,5,5,3,5,4,4,5,5
mac,4/5/21,12:25:32,64,1,92437,1,70,3,4,4,4,4,4,4,4,3,4,4,5,4,3,4,4,4,4
win,4/5/21,09:58:31,38,1,53256,1,58,5,4,4,4,2,4,2,1,3,5,5,2,1,4,4,2,2,4
win,4/5/21,12:15:00,42,1,127548,1,85,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5
win,4/5/21,12:21:22,48,1,396992,1,67,3,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4
win,4/5/21,12:24:20,1,1,173306,1,58,4,3,5,4,2,2,2,4,2,4,4,5,2,5,3,1,2,4
win,4/5/21,12:16:44,2,1,123996,1,60,2,5,4,2,4,4,4,2,3,3,4,4,4,3,3,2,4,3
win,4/5/21,17:15:14,65,1,114166,1,82,4,5,5,4,5,4,4,4,4,5,5,5,5,5,5,4,5,4
mac,4/5/21,10:24:49,66,1,272593,1,44,2,1,4,2,4,2,2,1,2,2,2,4,2,4,2,2,2,4
win,4/5/21,09:25:51,67,1,278889,1,51,2,2,2,2,4,4,4,4,2,2,4,4,1,4,2,4,2,2
mac,4/5/21,12:20:28,68,1,84922,1,53,4,3,4,3,2,3,2,2,2,4,4,4,2,2,4,2,3,3
win,4/5/21,13:11:23,69,1,71309,1,66,2,4,4,4,4,2,4,2,3,5,4,4,4,4,4,5,5,2
and,4/5/21,13:12:53,70,1,73839,1,58,4,3,3,4,4,3,3,2,3,3,4,4,3,3,3,2,3,4
win,4/5/21,13:13:59,71,1,110089,1,68,4,4,4,4,4,4,2,4,2,4,5,4,4,4,5,4,3,3
win,4/5/21,11:51:05,72,1,2392043,1,58,2,2,4,3,4,2,2,3,4,4,4,4,4,4,4,2,2,4
win,4/5/21,11:16:56,73,1,107796,1,53,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
win,4/5/21,14:08:16,74,1,124961,1,77,4,4,5,4,5,4,4,4,4,4,4,5,4,5,4,4,4,5
win,4/5/21,11:48:52,75,1,98787,1,81,4,4,5,4,4,4,5,5,4,5,4,5,4,5,5,4,5,5
win,4/5/21,20:50:32,76,1,139658,1,55,4,4,2,1,2,5,1,1,4,4,4,1,4,4,5,2,2,5
win,4/5/21,13:00:06,77,1,202401,1,90,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mac,4/13/21,09:01:52,78,1,140772,1,43,2,3,3,2,2,2,2,2,2,3,4,4,2,2,2,2,2,2
win,4/13/21,10:29:41,79,1,390379,1,47,4,3,2,2,4,1,2,3,1,4,4,3,1,2,4,2,1,4
and,4/13/21,11:29:17,80,1,979959,1,53,4,4,3,2,2,3,4,2,1,3,4,4,3,4,2,1,3,4
win,4/13/21,10:59:50,81,1,154183,1,86,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
win,4/13/21,12:16:08,82,1,72611,1,64,2,4,5,3,5,4,5,5,4,4,3,2,2,5,3,1,2,5
win,4/13/21,10:21:15,83,1,76235,1,77,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4
win,4/13/21,12:36:35,84,1,120491,1,71,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
win,4/13/21,12:35:20,85,1,222262,1,65,4,4,4,4,4,4,2,3,3,4,5,5,3,4,4,2,3,3
win,4/13/21,16:43:14,86,1,145622,1,61,4,4,5,5,2,4,2,2,2,4,5,2,3,4,2,4,3,4
win,4/13/21,12:51:49,87,1,95330,1,61,4,4,4,4,2,1,4,2,2,4,4,3,5,4,4,2,4,4
win,4/13/21,11:57:12,88,1,214044,1,56,2,4,4,2,4,4,2,2,2,4,4,4,2,4,4,2,4,2
win,4/13/21,10:02:33,89,1,111621,1,61,4,4,4,4,4,4,3,2,2,4,4,4,3,4,3,3,3,2
win,4/13/21,12:05:50,90,1,122432,1,71,4,4,4,4,4,4,2,2,4,5,5,4,4,5,5,2,5,4
win,4/13/21,13:07:26,91,1,77451,1,72,4,4,4,4,4,4,4,2,3,5,4,4,4,4,4,5,5,4
win,4/13/21,13:09:22,92,1,60569,1,60,4,3,3,3,3,4,3,2,3,4,4,4,3,4,3,3,3,4
win,4/13/21,13:09:06,93,1,167142,1,26,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,4,1
win,4/13/21,08:12:17,94,1,85696,1,74,4,4,4,4,4,4,5,4,4,5,5,5,4,4,2,4,4,4
win,4/13/21,13:13:51,95,1,52492,1,36,5,5,1,1,2,2,2,1,1,1,3,2,2,2,1,1,2,2
win,4/13/21,10:14:15,97,1,204977,1,59,4,3,4,3,3,4,2,3,3,4,4,3,3,2,4,3,3,4
win,4/13/21,13:20:12,96,1,63583,1,81,5,5,5,5,5,4,5,5,5,4,5,5,4,4,4,2,5,4
win,4/13/21,10:24:31,98,1,142635,1,78,4,4,5,4,5,4,5,4,4,5,3,4,4,5,4,4,5,5
win,4/13/21,13:28:51,99,1,11023,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
win,4/13/21,12:26:54,100,1,129616,1,64,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,2,4
win,4/13/21,10:32:01,105,1,164865,1,43,2,2,4,2,2,3,2,2,2,3,2,2,2,3,2,2,2,4
win,4/13/21,13:34:24,101,1,74612,0,15,4,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
win,4/13/21,13:32:37,102,1,209323,1,37,3,2,2,1,2,2,2,2,1,3,2,1,1,4,2,2,3,2
win,4/13/21,13:34:35,103,1,124552,1,68,3,4,3,3,4,3,3,4,3,4,5,4,4,4,4,4,4,5
and,4/13/21,18:33:15,109,1,248614,1,55,4,2,1,4,2,3,2,4,3,2,5,5,4,3,4,2,1,4
win,4/13/21,18:30:54,104,1,357931,1,86,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
win,4/13/21,10:49:36,107,1,150273,1,78,5,5,5,5,5,4,2,5,5,5,5,5,5,5,2,1,5,4
mac,4/13/21,13:51:07,106,1,132805,1,66,3,4,3,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4
win,4/13/21,13:52:23,108,1,106300,1,69,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,3,5,4
win,4/13/21,14:10:49,110,1,122481,1,54,4,4,4,4,2,3,2,4,1,4,4,4,4,2,2,2,2,2
win,4/13/21,12:26:39,111,1,361443,1,49,1,4,4,1,2,3,1,2,1,5,5,4,1,3,4,2,2,4
mac,4/13/21,10:21:51,112,1,367243,1,35,2,1,2,2,2,1,2,1,1,2,2,3,2,2,2,1,3,4
win,4/13/21,14:32:26,113,1,68192,1,47,1,3,2,3,2,4,2,2,2,3,4,5,1,3,1,4,2,3
win,4/13/21,13:47:46,114,1,311670,1,56,3,3,5,3,3,3,2,1,1,3,4,3,5,3,5,1,3,5
win,4/13/21,13:45:57,115,1,883131,1,72,4,4,5,5,4,3,5,4,4,4,4,4,3,2,4,4,5,4
win,4/13/21,14:02:26,116,1,306061,1,65,3,4,4,3,4,4,2,5,4,4,4,5,3,4,4,4,2,2
win,4/13/21,12:18:42,117,1,372090,1,56,4,4,2,2,2,4,4,2,1,4,2,4,5,4,4,2,2,4
mac,4/13/21,15:02:55,118,1,109923,1,60,4,4,4,4,3,2,4,2,4,4,4,4,4,4,3,2,2,2
win,4/13/21,14:58:52,119,1,54521,1,47,3,2,3,2,4,4,2,3,2,2,2,4,2,3,2,2,2,3
and,4/13/21,13:15:52,120,1,2330164,1,39,2,1,2,2,2,1,2,2,2,3,3,2,2,3,2,2,3,3
mac,4/13/21,15:26:29,121,1,582749,1,36,2,2,2,2,2,2,1,2,1,1,2,4,1,2,2,4,2,2
mac,4/13/21,17:42:12,122,1,79502,1,72,4,5,5,5,4,4,4,4,4,4,4,5,4,5,1,1,5,4
and,4/14/21,04:32:02,123,1,165377,1,79,5,4,5,5,5,4,4,5,3,4,5,5,4,5,4,4,5,3
win,4/26/21,09:54:54,124,1,1032377,1,58,4,4,5,3,2,4,2,2,2,4,4,2,4,4,4,2,2,4
mac,4/26/21,13:16:37,125,1,338116,1,80,4,4,4,5,4,4,5,5,5,4,5,5,4,5,5,4,5,3
mac,4/26/21,13:32:27,126,1,90239,1,42,2,2,2,2,2,2,1,1,1,2,4,5,2,5,2,1,2,4
mac,4/26/21,13:33:55,127,1,84359,1,45,3,4,4,4,3,1,2,4,2,3,2,2,1,1,3,2,1,3
win,4/26/21,12:00:51,128,1,83773,1,77,4,4,4,4,4,4,5,4,4,5,5,5,4,4,4,5,4,4
mac,4/26/21,14:03:10,129,1,240920,1,70,3,4,4,4,5,5,4,2,2,4,5,5,4,5,5,3,1,5
win,4/26/21,14:17:30,130,1,83344,1,52,2,2,3,3,4,3,3,3,3,3,4,4,2,2,2,3,4,2
win,4/26/21,14:04:43,134,1,918052,1,69,4,4,5,4,5,4,4,2,1,4,5,5,2,5,5,1,5,4
win,4/26/21,13:18:42,131,1,83977,1,73,4,4,4,5,4,4,5,4,2,4,5,5,4,4,4,4,3,4
win,4/26/21,14:19:53,132,1,62585,1,46,2,2,3,4,4,1,2,2,3,3,2,4,2,4,2,2,2,2
win,4/26/21,11:20:29,133,1,132343,1,41,2,2,3,2,4,1,2,2,2,3,3,2,2,3,1,1,2,4
win,4/26/21,14:25:51,135,1,281446,1,82,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,1,5,4
win,4/26/21,18:28:13,137,1,453304,1,66,1,5,4,4,5,4,3,4,4,4,5,4,4,4,3,1,2,5
win,4/26/21,11:35:36,136,1,82536,1,65,4,5,4,4,4,3,4,4,2,4,4,4,4,3,2,2,4,4
win,4/26/21,11:42:51,139,1,100829,1,49,2,2,4,2,4,1,2,2,2,4,2,2,4,5,3,1,2,5
win,4/26/21,13:44:49,138,1,16315,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
win,4/26/21,13:44:57,140,1,106489,1,53,2,2,4,4,4,2,3,4,2,3,2,4,3,2,4,2,2,4
win,4/26/21,13:46:57,141,1,81409,1,27,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,2,2
mac,4/26/21,11:50:44,142,1,76760,1,59,3,3,3,2,4,1,2,2,2,4,4,4,4,4,4,3,5,5
win,4/26/21,14:51:28,143,1,127587,1,63,1,3,3,3,5,3,2,5,4,5,4,4,4,4,3,1,4,5
mac,4/26/21,11:52:57,144,1,101866,1,34,1,1,2,2,1,2,2,2,1,2,3,2,1,2,3,1,1,5
win,4/26/21,14:53:40,145,1,134054,1,83,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,1
win,4/26/21,14:53:16,146,1,184425,1,56,4,4,4,3,1,3,2,2,3,2,5,5,3,4,4,1,3,3
win,4/26/21,15:00:30,148,1,84487,1,45,3,2,2,4,2,1,2,2,2,3,3,4,4,3,2,2,2,2
win,4/26/21,12:00:09,147,1,106504,1,75,4,4,4,4,5,5,4,4,2,4,5,5,4,5,5,4,2,5
win,4/26/21,14:01:04,149,1,145742,1,38,2,1,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2,4
win,4/26/21,12:00:45,151,1,269739,1,69,4,5,5,4,4,5,4,4,2,4,5,4,2,4,4,2,5,2
win,4/26/21,12:02:41,150,1,167122,1,49,2,4,4,2,4,3,2,2,2,3,2,2,3,2,3,3,2,4
win,4/26/21,15:12:37,152,1,37028,1,48,2,2,3,4,2,2,2,4,2,2,4,2,4,3,4,2,2,2
win,4/26/21,15:15:03,154,1,105553,1,71,4,4,4,5,2,5,2,4,4,5,5,4,4,4,4,2,4,5
win,4/26/21,11:35:18,153,1,66150,1,76,4,5,5,5,4,4,4,4,4,4,5,4,4,4,5,3,4,4
win,4/26/21,20:15:01,155,1,142039,1,66,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,4
win,4/26/21,15:14:28,156,1,272311,1,58,3,4,4,3,4,3,2,2,4,4,4,4,3,3,2,3,4,2
win,4/26/21,07:20:51,157,1,162995,1,36,2,2,2,1,2,2,2,2,1,2,2,3,1,2,2,4,2,2
win,4/26/21,20:21:45,158,1,198822,1,44,2,2,2,2,2,1,2,2,2,4,4,2,4,4,1,2,2,4
win,4/26/21,15:17:03,159,1,734658,1,73,5,5,5,4,5,5,4,1,1,5,5,5,3,5,2,3,5,5
win,4/26/21,15:01:11,160,1,98624,1,49,2,2,2,1,2,4,3,1,3,4,4,4,2,4,4,3,1,3
win,4/26/21,15:51:03,161,1,65499,1,70,4,4,4,4,4,3,2,4,4,4,5,5,4,5,4,3,4,3
win,4/26/21,15:55:26,163,1,83614,1,78,4,4,5,4,5,5,4,2,4,5,5,4,5,4,4,4,5,5
win,4/26/21,14:56:20,162,1,224138,1,65,3,4,5,4,5,2,3,3,4,4,5,5,4,2,3,3,3,3
win,4/26/21,15:01:54,164,1,140527,1,59,3,3,4,3,4,3,5,2,3,4,3,4,3,4,3,3,4,1
win,4/26/21,13:44:44,165,1,78672,1,84,4,5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,4
win,4/26/21,16:30:43,166,1,69158,1,52,4,4,1,3,1,4,1,2,3,3,4,2,2,4,5,3,2,4
and,4/27/21,03:00:37,167,1,32874,1,56,4,2,3,4,4,2,3,4,3,3,2,4,2,3,4,3,4,2
win,4/26/21,17:03:35,168,1,122651,1,40,2,2,2,2,2,3,1,1,1,2,4,4,3,3,2,1,1,4
ios,4/26/21,17:15:50,169,1,55569,1,58,4,2,4,4,4,4,2,4,2,2,4,4,4,2,4,4,2,2
win,4/26/21,22:20:23,170,1,161531,1,82,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5
win,4/26/21,23:13:30,171,1,81012,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
win,5/12/21,13:11:26,172,1,86452,1,61,4,4,4,4,4,4,2,2,2,4,4,4,3,4,3,2,3,4
and,5/12/21,14:46:49,173,1,198743,1,81,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,4,2
win,5/12/21,12:53:37,176,1,572519,1,65,2,2,5,5,4,4,4,2,2,4,4,4,4,4,5,1,5,4
win,5/12/21,13:03:42,175,1,75518,1,60,4,3,3,3,3,4,4,3,2,3,3,4,3,4,3,3,3,5
win,5/12/21,15:53:32,174,1,737950,0,11,2,1,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
win,5/12/21,10:12:09,177,1,78192,1,53,4,5,1,2,2,2,1,2,5,2,4,1,4,5,5,2,4,2
win,5/12/21,16:25:04,178,1,119598,1,70,4,4,4,4,4,2,4,4,2,4,4,4,5,4,4,4,4,5
win,5/12/21,15:28:23,179,1,100605,1,67,4,5,2,4,4,4,2,4,2,5,4,5,4,4,4,4,1,5
win,5/12/21,15:36:20,180,1,109364,1,52,4,5,4,4,2,2,2,4,2,2,4,2,2,4,4,1,2,2
win,5/12/21,14:04:32,182,1,155716,1,63,5,4,3,4,2,5,2,3,2,4,4,4,5,4,4,2,2,4
win,5/12/21,11:04:05,181,1,76333,1,68,4,4,4,4,5,4,4,2,4,4,4,4,4,5,4,2,2,4
mac,5/12/21,17:13:22,183,1,61002,1,66,2,4,4,4,5,4,4,2,2,4,3,5,4,5,4,1,4,5
win,5/12/21,16:11:44,184,1,175529,1,86,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5
win,5/12/21,17:08:48,185,1,404783,1,65,4,4,4,4,4,4,2,4,3,4,4,4,3,4,4,2,3,4
mac,5/12/21,15:22:57,186,1,102109,1,90,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
mac,5/12/21,16:23:57,187,1,91749,1,62,4,4,4,4,4,2,5,1,2,3,5,4,4,4,4,2,2,4
win,5/12/21,14:25:08,188,1,81404,1,84,4,4,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,4
win,5/12/21,16:35:52,189,1,60097,1,30,2,2,2,2,2,1,1,2,1,2,1,2,1,2,2,2,2,1
win,5/12/21,14:45:57,190,1,74093,1,44,2,2,2,2,2,2,2,1,2,4,4,4,2,4,2,1,2,4
win,5/12/21,17:56:10,192,1,130381,1,25,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,5
win,5/12/21,16:56:39,191,1,108003,1,67,4,3,4,3,5,3,3,4,3,4,4,4,4,4,4,3,4,4
win,5/12/21,15:00:22,194,1,75190,1,38,1,1,1,1,1,1,1,3,1,1,1,4,1,5,1,5,5,4
win,5/12/21,17:00:32,193,1,3407,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
win,5/12/21,15:02:49,195,1,154475,1,66,4,2,4,4,4,4,3,4,4,5,4,4,4,4,4,4,2,2
win,5/12/21,15:07:17,196,1,136124,1,46,2,2,4,2,2,2,1,2,1,2,4,4,2,4,3,4,1,4
and,5/12/21,15:12:31,197,1,98207,1,62,3,4,4,4,4,3,4,2,2,3,4,4,3,4,3,3,4,4
win,5/12/21,18:12:48,198,1,201577,1,34,2,3,2,1,2,2,1,1,1,3,2,1,2,3,1,1,1,5
win,5/12/21,18:18:53,201,1,163320,1,64,4,4,4,4,5,3,2,3,5,3,4,5,4,3,3,3,3,2
win,5/12/21,16:16:35,200,1,172056,1,76,4,5,4,4,4,4,5,3,4,4,5,4,5,4,5,4,4,4
win,5/12/21,15:18:27,199,1,100101,1,55,4,5,5,1,2,4,3,4,2,3,2,2,4,2,4,2,2,4
win,5/12/21,17:19:57,202,1,101070,1,71,4,4,4,4,4,3,4,2,4,5,4,4,4,4,4,4,5,4
win,5/12/21,18:22:02,203,1,84588,1,64,4,5,4,4,4,5,2,1,2,4,5,5,5,4,3,1,2,4
and,5/12/21,15:22:19,204,1,135286,1,56,3,3,4,2,4,3,2,3,3,4,4,4,3,3,3,2,3,3
mac,5/12/21,18:23:34,205,1,106923,1,71,1,5,5,3,5,5,5,1,1,5,4,5,5,1,5,5,5,5
win,5/12/21,18:24:12,207,1,201460,1,72,4,4,5,4,5,4,2,4,3,5,4,5,3,4,3,4,5,4
win,5/12/21,17:22:21,210,1,358764,1,82,4,4,5,4,5,5,4,5,4,5,5,5,4,5,5,4,5,4
win,5/12/21,17:26:46,206,1,108615,1,74,4,4,5,4,4,5,1,3,3,5,5,5,4,5,5,3,4,5
win,5/12/21,15:26:07,209,1,157065,1,62,4,2,4,4,4,4,4,2,2,2,4,5,2,5,4,2,4,4
and,5/12/21,18:29:19,208,1,104370,1,73,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
win,5/12/21,15:42:46,211,1,156674,1,57,4,2,2,4,4,2,2,2,2,4,4,5,5,5,4,2,1,3
win,5/12/21,18:01:08,212,1,68047,1,67,2,2,5,4,4,2,4,4,4,4,5,5,3,4,4,4,3,4
win,5/12/21,23:16:29,213,1,107873,1,38,2,2,2,2,2,2,1,2,1,3,2,4,1,2,2,4,2,2
mac,5/12/21,19:34:43,214,1,58662,1,71,4,5,4,5,4,3,4,3,4,4,2,5,5,5,4,3,5,2
win,5/12/21,18:45:54,215,1,93109,1,39,2,1,4,4,2,1,1,1,1,5,2,4,1,1,1,5,1,2
win,5/12/21,19:03:38,216,1,46881,1,70,5,5,5,5,5,4,5,1,5,1,5,5,5,5,1,2,5,1
mac,5/12/21,17:04:26,217,1,92133,1,51,2,2,2,2,3,2,2,2,2,4,4,4,2,4,2,4,4,4
win,5/12/21,19:11:22,218,1,81049,1,47,2,2,2,2,5,2,2,2,1,3,4,4,3,3,2,2,2,4
